Date,Dividends
2012-11-20 05:00:00,0.001875
2013-02-26 05:00:00,0.001875
2013-05-21 04:00:00,0.001875
2013-08-20 04:00:00,0.001875
2013-11-19 05:00:00,0.002125
2014-02-25 05:00:00,0.002125
2014-05-20 04:00:00,0.002125
2014-08-19 04:00:00,0.002125
2014-11-19 05:00:00,0.002125
2015-02-24 05:00:00,0.002125
2015-05-19 04:00:00,0.00245
2015-08-18 04:00:00,0.00245
2015-11-18 05:00:00,0.002875
2016-02-29 05:00:00,0.002875
2016-05-24 04:00:00,0.002875
2016-08-23 04:00:00,0.002875
2016-11-23 05:00:00,0.0035
2017-02-22 05:00:00,0.0035
2017-05-19 04:00:00,0.0035
2017-08-22 04:00:00,0.0035
2017-11-22 05:00:00,0.00375
2018-02-22 05:00:00,0.00375
2018-05-23 04:00:00,0.00375
2018-08-29 04:00:00,0.00375
2018-11-29 05:00:00,0.004
2019-02-28 05:00:00,0.004
2019-05-30 04:00:00,0.004
2019-08-28 04:00:00,0.004
2019-11-27 05:00:00,0.004
2020-02-27 05:00:00,0.004
2020-06-04 04:00:00,0.004
2020-09-01 04:00:00,0.004
2020-12-03 05:00:00,0.004
2021-03-09 05:00:00,0.004
2021-06-09 04:00:00,0.004
2021-08-31 04:00:00,0.004
2021-12-01 05:00:00,0.004
2022-03-02 05:00:00,0.004
2022-06-08 04:00:00,0.004
2022-09-07 04:00:00,0.004
2022-11-30 05:00:00,0.004
2023-03-07 05:00:00,0.004
2023-06-07 04:00:00,0.004
2023-09-06 04:00:00,0.004
2023-12-05 05:00:00,0.004
2024-03-05 05:00:00,0.004
2024-06-11 04:00:00,0.01
2024-09-12 04:00:00,0.01
2024-12-05 05:00:00,0.01
2025-03-12 04:00:00,0.01
2025-06-11 04:00:00,0.01
2025-09-11 04:00:00,0.01
2025-12-04 05:00:00,0.01
2026-03-11 04:00:00,0.01
2026-06-04 04:00:00,0.25
