Date,Adj_Close,Close,High,Low,Open,Volume,Year,Month,Quarter,Day,Day_of_Week,Daily_Return,Price_Change,High_Low_Spread,Open_Close_Spread,MA20,MA50,MA100,MA200,Above_MA20,Above_MA50,Above_MA100,Above_MA200,Golden_Cross,Death_Cross,RSI,RSI_Signal,EMA12,EMA26,MACD,Signal_Line,MACD_Histogram,MACD_Buy,MACD_Sell,Rolling_STD,Upper_Band,Lower_Band,BB_Signal
1999-01-22,0.0375590659677982,0.0410160012543201,0.0488279983401298,0.0388020016252994,0.0437499992549419,2714688000,1999,1,1,22,Friday,,-0.0027339980006217957,0.010025996714830399,0.0027339980006217957,,,,,False,False,False,False,False,False,,Neutral,0.0410160012543201,0.0410160012543201,0.0,0.0,0.0,False,False,,,,Normal
1999-01-25,0.0414939075708389,0.0453130006790161,0.0458329990506172,0.0410160012543201,0.0442709997296333,510480000,1999,1,1,25,Monday,0.10476397730857312,0.0010420009493828028,0.004816997796297094,-0.0010420009493828028,,,,,False,False,False,False,False,False,,Neutral,0.041677078088888715,0.041334297508001286,0.0003427805808874293,6.855611617748586e-05,0.00027422446470994343,True,False,,,,Normal
1999-01-26,0.0382742509245872,0.041797000914812,0.0467449985444545,0.0411459989845752,0.0458329990506172,343200000,1999,1,1,26,Tuesday,-0.07759362018663041,-0.004035998135805199,0.005598999559879296,0.004035998135805199,,,,,False,False,False,False,False,False,,Neutral,0.041695527754415374,0.04136857183443171,0.00032695591998366247,0.00012023607693872117,0.0002067198430449413,False,False,,,,Normal
1999-01-27,0.0381552092730999,0.0416669994592666,0.04296899959445,0.0395830012857914,0.0419269986450672,244368000,1999,1,1,27,Wednesday,-0.003110305828170734,-0.00025999918580060094,0.0033859983086586,0.00025999918580060094,,,,,False,False,False,False,False,False,,Neutral,0.04169113878593095,0.04139067758441948,0.0003004612015114691,0.00015628110185327078,0.00014418009965819832,False,False,,,,Normal
1999-01-28,0.0380352362990379,0.0415359996259212,0.0419269986450672,0.0412760004401207,0.0416669994592666,227520000,1999,1,1,28,Thursday,-0.0031439708893237217,-0.00013099983334539933,0.0006509982049465041,0.00013099983334539933,,,,,False,False,False,False,False,False,,Neutral,0.04166727122285253,0.04140144218008627,0.00026582904276625796,0.00017819069003586823,8.763835273038973e-05,False,False,,,,Normal
1999-01-29,0.0362468548119068,0.0395830012857914,0.0416669994592666,0.0395830012857914,0.0415359996259212,244032000,1999,1,1,29,Friday,-0.047019413465879456,-0.0019529983401298037,0.002083998173475203,0.0019529983401298037,,,,,False,False,False,False,False,False,,Neutral,0.041346614309458504,0.04126674285458294,7.987145487556302e-05,0.0001585268430038072,-7.865538812824418e-05,False,True,,,,Normal
1999-02-01,0.0369629450142383,0.0403649993240833,0.0406249985098838,0.0395830012857914,0.0395830012857914,154704000,1999,2,1,1,Monday,0.019755905638529914,0.0007819980382919034,0.0010419972240924003,-0.0007819980382919034,,,,,False,False,False,False,False,False,,Neutral,0.041195596619400775,0.0411999470375089,-4.3504181081246984e-06,0.00012595139078142083,-0.00013030180888954553,False,False,,,,Normal
1999-02-02,0.0341013185679912,0.0372399985790252,0.0406249985098838,0.0360679998993873,0.0395830012857914,264096000,1999,2,1,2,Tuesday,-0.07741857543383157,-0.002343002706766198,0.0045569986104965,0.002343002706766198,,,,,False,False,False,False,False,False,,Neutral,0.04058704307472761,0.04090661752206567,-0.0003195744473380585,3.684622315752496e-05,-0.00035642067049558346,False,False,,,,Normal
1999-02-03,0.0348165035247802,0.0380209982395172,0.0385419987142086,0.0364580005407333,0.0367190018296241,75120000,1999,2,1,3,Wednesday,0.02097206472322166,0.0013019964098930983,0.0020839981734753,-0.0013019964098930983,,,,,False,False,False,False,False,False,,Neutral,0.0401922669462337,0.040692867945580594,-0.0005006009993468938,-7.06432213433588e-05,-0.000429957778003535,False,False,,,,Normal
1999-02-04,0.0367239452898502,0.0401040017604827,0.0411459989845752,0.0380209982395172,0.0385419987142086,181920000,1999,2,1,4,Thursday,0.05478560841152569,0.001562003046274095,0.003125000745058004,-0.001562003046274095,,,,,False,False,False,False,False,False,,Neutral,0.04017868768688739,0.040649248228165936,-0.00047056054127854463,-0.00015062668533039598,-0.0003199338559481486,False,False,,,,Normal
